barra,tension_kv,estres_nodal,prioridad_operativa,score_revision,prioridad,dependencia_criterio,zona_mensual,soporte_evidencia,driver_principal,persistencia,accion_recomendada,limite_interpretacion
PLANTAETANOL 60,60.0,77.44,65.17,75.71,Señal prioritaria,Baja dependencia,Zona mensual recurrente,A,Nivel de precio,Persistente,"Abrir revisión estructurada: exposición contractual, contexto topológico, indicadores de confiabilidad y supuestos de demanda industrial cercana.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
ZORRITOS 220,220.0,76.1,64.8,75.39,Señal prioritaria,Baja dependencia,Zona mensual recurrente,A,Nivel de precio,Persistente,"Abrir revisión estructurada: exposición contractual, contexto topológico, indicadores de confiabilidad y supuestos de demanda industrial cercana.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
HUAYLLACHO 15,15.0,74.93,65.13,75.35,Señal prioritaria,Baja dependencia,Zona mensual recurrente,A,Nivel de precio,Persistente,"Abrir revisión estructurada: exposición contractual, contexto topológico, indicadores de confiabilidad y supuestos de demanda industrial cercana.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
NCTUMBES60,60.0,75.97,64.41,75.32,Señal prioritaria,Baja dependencia,Zona mensual recurrente,A,Nivel de precio,Persistente,"Abrir revisión estructurada: exposición contractual, contexto topológico, indicadores de confiabilidad y supuestos de demanda industrial cercana.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
SAN IGNACIO 15,15.0,74.38,64.76,74.93,Señal condicionada,Baja dependencia,Zona mensual recurrente,A,Nivel de precio,Persistente,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
SAN ANTONIO 15,15.0,74.33,64.73,74.92,Señal condicionada,Baja dependencia,Zona mensual recurrente,A,Nivel de precio,Persistente,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
TINTAYA EXISTENTE 138,138.0,71.42,63.13,73.64,Señal condicionada,Baja dependencia,Zona mensual recurrente,A,Nivel de precio,Persistente,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
GE1 33,33.0,73.98,63.58,73.22,Señal condicionada,Baja dependencia,Zona mensual recurrente,A,Nivel de precio,Persistente,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PARIAC 66,66.0,70.93,61.97,72.78,Señal condicionada,Baja dependencia,Zona mensual frecuente,A,Nivel de precio,Recurrente,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
MISAPUQUIO 33,33.0,71.49,62.86,72.67,Señal condicionada,Baja dependencia,Zona mensual frecuente,A,Nivel de precio,Persistente,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
TINTAYA NUEVA 220,220.0,70.58,62.58,72.62,Señal condicionada,Baja dependencia,Zona mensual recurrente,A,Nivel de precio,Recurrente,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
