barra,tension_kv,zona_geografica,contexto_topologico,tipo_contexto,rol_evidencia,resumen_contexto,estres_nodal,prioridad_operativa,prioridad_operativa_p90,ranking_estres_nodal,ranking_prioridad_operativa,score_revision,prioridad,robustez,dependencia_criterio,score_estabilidad,meses_top20_mensual,share_top20_mensual,zona_mensual,lectura_zona_mensual,soporte_evidencia,driver_principal,persistencia,meses_prioridad,meses_seguimiento,meses_score,cobertura_analitica,meses_fuente_coes,meses_observados,nota_cobertura,primer_mes,ultimo_mes,estado_publicacion,accion_recomendada,limite_interpretacion
PLANTAETANOL 60,60.0,Contexto geográfico pendiente de validación pública,S.E.PLANTA ETANOL,Subestación de transmisión,Subestación o activo oficial,"S.E.PLANTA ETANOL a 60.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",77.44,65.17,92.21,2,1,75.71,Señal prioritaria,Baja dependencia,Baja dependencia,99.7297280941229,27,0.75,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,10,20,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Abrir revisión estructurada: exposición contractual, contexto topológico, indicadores de confiabilidad y supuestos de demanda industrial cercana.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
ZORRITOS 220,220.0,Contexto geográfico pendiente de validación pública,ZORRITOS,Subestación de transmisión,Subestación o activo oficial,"ZORRITOS a 220.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",76.1,64.8,94.11,3,3,75.39,Señal prioritaria,Baja dependencia,Baja dependencia,99.35409911344952,27,0.75,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,11,19,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Abrir revisión estructurada: exposición contractual, contexto topológico, indicadores de confiabilidad y supuestos de demanda industrial cercana.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
HUAYLLACHO 15,15.0,Contexto geográfico pendiente de validación pública,C.H. HUAYLLACHO,Generación local o subtransmisión,"Barra local, industrial o generación","C.H. HUAYLLACHO a 15.0 kV se interpreta como barra local, industrial, de generación o media tensión. Su valor para el producto está en conectar la señal de estrés nodal y prioridad operativa con demanda, inyección local o exposición contractual específica.",74.93,65.13,93.35,5,2,75.35,Señal prioritaria,Baja dependencia,Baja dependencia,99.34491039816916,26,0.722,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,11,19,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Abrir revisión estructurada: exposición contractual, contexto topológico, indicadores de confiabilidad y supuestos de demanda industrial cercana.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
NCTUMBES60,60.0,Contexto geográfico pendiente de validación pública,NUEVA TUMBES,Subestación de transmisión,Subestación o activo oficial,"NUEVA TUMBES a 60.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",75.97,64.41,94.37,4,6,75.32,Señal prioritaria,Baja dependencia,Baja dependencia,98.95061728395062,27,0.75,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,11,19,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Abrir revisión estructurada: exposición contractual, contexto topológico, indicadores de confiabilidad y supuestos de demanda industrial cercana.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
SAN IGNACIO 15,15.0,Contexto geográfico pendiente de validación pública,C.H. SAN IGNACIO,Generación local o subtransmisión,"Barra local, industrial o generación","C.H. SAN IGNACIO a 15.0 kV se interpreta como barra local, industrial, de generación o media tensión. Su valor para el producto está en conectar la señal de estrés nodal y prioridad operativa con demanda, inyección local o exposición contractual específica.",74.38,64.76,92.56,6,4,74.93,Señal condicionada,Baja dependencia,Baja dependencia,98.8683495077956,25,0.694,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,11,19,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
SAN ANTONIO 15,15.0,Contexto geográfico pendiente de validación pública,C.H. SAN ANTONIO,Generación local o subtransmisión,"Barra local, industrial o generación","C.H. SAN ANTONIO a 15.0 kV se interpreta como barra local, industrial, de generación o media tensión. Su valor para el producto está en conectar la señal de estrés nodal y prioridad operativa con demanda, inyección local o exposición contractual específica.",74.33,64.73,92.56,7,5,74.92,Señal condicionada,Baja dependencia,Baja dependencia,98.61425076082598,25,0.694,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,11,19,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
TINTAYA EXISTENTE 138,138.0,Contexto geográfico pendiente de validación pública,TINTAYA,Subestación de transmisión,Subestación o activo oficial,"TINTAYA a 138.0 kV cuenta con contexto oficial de subestación de transmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",71.42,63.13,90.59,14,8,73.64,Señal condicionada,Baja dependencia,Baja dependencia,97.27829277782632,19,0.528,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,9,19,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
GE1 33,33.0,Contexto geográfico pendiente de validación pública,S.E. GE1 / C.T. REFINERIA TALARA,Generación local o subtransmisión,Subestación o activo oficial,"S.E. GE1 / C.T. REFINERIA TALARA a 33.0 kV cuenta con contexto oficial de generación local o subtransmisión. La barra es apta para priorización porque la señal COES puede leerse junto con evidencia externa de subestación, conexión, central, industria o corredor.",73.98,63.58,92.91,8,7,73.22,Señal condicionada,Baja dependencia,Baja dependencia,98.20282390659922,23,0.639,Zona mensual recurrente,Aparece de forma recurrente en el Top 20 mensual; requiere seguimiento como caso persistente o estructural dentro del screening.,A,Nivel de precio,Persistente,10,17,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
PARIAC 66,66.0,Contexto geográfico pendiente de validación pública,PARIAC,Subestación de transmisión,Alias COES cerrado con evidencia,PARIAC a 66.0 kV conserva una convención de nombre COES o alias ya cerrada para uso de screening. La lectura útil es comparar la señal de precio con el activo o conexión que explica su relevancia actual.,70.93,61.97,91.4,16,17,72.78,Señal condicionada,Baja dependencia,Baja dependencia,95.6590953462306,17,0.472,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Recurrente,7,17,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
MISAPUQUIO 33,33.0,Contexto geográfico pendiente de validación pública,C.H. MISAPUQUIO,Generación local o subtransmisión,"Barra local, industrial o generación","C.H. MISAPUQUIO a 33.0 kV se interpreta como barra local, industrial, de generación o media tensión. Su valor para el producto está en conectar la señal de estrés nodal y prioridad operativa con demanda, inyección local o exposición contractual específica.",71.49,62.86,90.72,13,9,72.67,Señal condicionada,Baja dependencia,Baja dependencia,96.39041618980796,16,0.444,Zona mensual frecuente,"Aparece con frecuencia en la zona ejecutiva mensual; conviene revisar recurrencia, contrato y contexto industrial.",A,Nivel de precio,Persistente,9,17,36,Cobertura analitica completa,36,36,"source_* describe meses/llaves/archivos COES disponibles para trazabilidad; score_* describe meses efectivos que entran al calculo de estres nodal, prioridad operativa y score de revision.",2023-01,2025-12,universo_publico_217,"Revisar después de señales prioritarias o cuando sector, contrato o ubicación industrial aumenten su relevancia analítica.","Apta para soporte de decisión, screening industrial y due diligence. No implica causalidad física, power-flow, predicción de precios ni cálculo de montos de facturación específicos."
